기간,자치구,전체인구,전체인구/남자,전체인구/여자,65세이상 인구,65세이상 인구/남자,65세이상 인구/여자
2020-01-04,서초구,45707 ,21879 ,23828 ,6550 ,2844 ,3706 
2020-01-04,서초구,23089 ,11621 ,11468 ,2774 ,1244 ,1530 
2020-01-04,서초구,18500 ,8965 ,9535 ,3066 ,1419 ,1647 
2020-01-04,강남구,549898 ,263163 ,286735 ,72602 ,32552 ,40050 
2020-01-04,강남구,17487 ,8149 ,9338 ,2917 ,1296 ,1621 
2020-01-04,강남구,23944 ,11175 ,12769 ,2928 ,1299 ,1629 
2020-01-04,강남구,21858 ,10145 ,11713 ,3054 ,1334 ,1720 
2020-01-04,강남구,14959 ,7498 ,7461 ,2151 ,1014 ,1137 
2020-01-04,강남구,30674 ,14602 ,16072 ,3308 ,1451 ,1857 
2020-01-04,강남구,25298 ,12719 ,12579 ,2250 ,1081 ,1169 
2020-01-04,강남구,20770 ,9809 ,10961 ,1974 ,850 ,1124 
2020-01-04,강남구,36973 ,17773 ,19200 ,3551 ,1635 ,1916 
2020-01-04,강남구,37513 ,17613 ,19900 ,3555 ,1581 ,1974 
2020-01-04,강남구,22651 ,10755 ,11896 ,2841 ,1361 ,1480 
2020-01-04,강남구,34524 ,16061 ,18463 ,4528 ,2186 ,2342 
2020-01-04,강남구,6890 ,3334 ,3556 ,1531 ,724 ,807 
2020-01-04,강남구,18282 ,8972 ,9310 ,2324 ,1062 ,1262 
2020-01-04,강남구,24358 ,11981 ,12377 ,2724 ,1220 ,1504 
2020-01-04,강남구,16407 ,8008 ,8399 ,3072 ,1314 ,1758 
2020-01-04,강남구,18086 ,8736 ,9350 ,3079 ,1225 ,1854 
2020-01-04,강남구,15798 ,7219 ,8579 ,4212 ,1612 ,2600 
2020-01-04,강남구,45060 ,21456 ,23604 ,6203 ,2722 ,3481 
2020-01-04,강남구,27802 ,12787 ,15015 ,4967 ,2192 ,2775 
2020-01-04,강남구,29479 ,13869 ,15610 ,4028 ,1817 ,2211 
2020-01-04,강남구,38575 ,19612 ,18963 ,4446 ,2149 ,2297 
2020-01-04,강남구,22510 ,10890 ,11620 ,2959 ,1427 ,1532 
2020-01-04,송파구,680883 ,329058 ,351825 ,89539 ,41297 ,48242 
2020-01-04,송파구,15332 ,7598 ,7734 ,2765 ,1237 ,1528 
2020-01-04,송파구,25805 ,12258 ,13547 ,3550 ,1646 ,1904 
2020-01-04,송파구,13163 ,6700 ,6463 ,2221 ,1054 ,1167 
2020-01-04,송파구,16852 ,8263 ,8589 ,3083 ,1338 ,1745 
2020-01-04,송파구,20562 ,10505 ,10057 ,4049 ,1855 ,2194 
2020-01-04,송파구,20108 ,10204 ,9904 ,3904 ,1747 ,2157 
2020-01-04,송파구,16450 ,7920 ,8530 ,2081 ,985 ,1096 
2020-01-04,송파구,26408 ,12515 ,13893 ,3312 ,1523 ,1789 
2020-01-04,송파구,18837 ,9271 ,9566 ,2468 ,1200 ,1268 
2020-01-04,송파구,41029 ,19937 ,21092 ,5856 ,2688 ,3168 
2020-01-04,송파구,25801 ,12164 ,13637 ,3286 ,1532 ,1754 
2020-01-04,송파구,20848 ,10046 ,10802 ,2737 ,1299 ,1438 
2020-01-04,송파구,34097 ,16310 ,17787 ,4275 ,1935 ,2340 
2020-01-04,송파구,32400 ,15369 ,17031 ,3797 ,1666 ,2131 
2020-01-04,송파구,27833 ,13806 ,14027 ,3477 ,1645 ,1832 
2020-01-04,송파구,28032 ,13648 ,14384 ,2901 ,1372 ,1529 
2020-01-04,송파구,33776 ,16555 ,17221 ,3917 ,1841 ,2076 
2020-01-04,송파구,21304 ,10501 ,10803 ,2787 ,1357 ,1430 
2020-01-04,송파구,30070 ,13926 ,16144 ,3664 ,1796 ,1868 
2020-01-04,송파구,29537 ,13938 ,15599 ,3566 ,1612 ,1954 
2020-01-04,송파구,22136 ,10665 ,11471 ,2602 ,1198 ,1404 
2020-01-04,송파구,17479 ,8326 ,9153 ,2617 ,1247 ,1370 
2020-01-04,송파구,10153 ,4731 ,5422 ,2041 ,970 ,1071 
2020-01-04,송파구,36784 ,17609 ,19175 ,3295 ,1462 ,1833 
2020-01-04,송파구,35931 ,17130 ,18801 ,5194 ,2486 ,2708 
2020-01-04,송파구,31815 ,15415 ,16400 ,4117 ,1770 ,2347 
2020-01-04,송파구,28341 ,13748 ,14593 ,1977 ,836 ,1141 
2020-01-04,강동구,457042 ,225226 ,231816 ,66401 ,30289 ,36112 
2020-01-04,강동구,31982 ,15431 ,16551 ,4640 ,2049 ,2591 
2020-01-04,강동구,27636 ,13669 ,13967 ,2878 ,1393 ,1485 
2020-01-04,강동구,26538 ,12949 ,13589 ,3651 ,1668 ,1983 
2020-01-04,강동구,17589 ,8677 ,8912 ,2335 ,1121 ,1214 
2020-01-04,강동구,26753 ,13613 ,13140 ,2703 ,1221 ,1482 
2020-01-04,강동구,21130 ,10758 ,10372 ,2554 ,1232 ,1322 
2020-01-04,강동구,15521 ,7533 ,7988 ,2245 ,1024 ,1221 
2020-01-04,강동구,18517 ,9049 ,9468 ,2417 ,1169 ,1248 
2020-01-04,강동구,28223 ,13897 ,14326 ,4896 ,2204 ,2692 
2020-01-04,강동구,27543 ,13558 ,13985 ,4498 ,2044 ,2454 
2020-01-04,강동구,20468 ,9914 ,10554 ,2896 ,1323 ,1573 
2020-01-04,강동구,25187 ,12394 ,12793 ,4083 ,1862 ,2221 
2020-01-04,강동구,23887 ,11775 ,12112 ,3532 ,1567 ,1965 
2020-01-04,강동구,279 ,132 ,147 ,95 ,35 ,60 
2020-01-04,강동구,27520 ,13611 ,13909 ,4123 ,1917 ,2206 
2020-01-04,강동구,36492 ,18011 ,18481 ,5751 ,2509 ,3242 
2020-01-04,강동구,35714 ,17759 ,17955 ,5815 ,2628 ,3187 
2020-01-04,강동구,46063 ,22496 ,23567 ,7289 ,3323 ,3966 
